City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
147,Taitung,TW,22.7583,121.1444,64.67,72,75,8.05,broken clouds
148,Chuy,UY,-33.6971,-53.4616,64.09,92,30,8.08,scattered clouds
149,Nizhniy Lomov,RU,53.5304,43.6766,-1.48,100,100,3.69,overcast clouds
150,Sterling,US,39.0062,-77.4286,29.17,58,0,1.01,clear sky
151,Doha,QA,25.2867,51.5333,62.58,46,0,11.5,clear sky
152,Olavarria,AR,-36.8927,-60.3225,57.02,87,95,9.8,overcast clouds
153,Huntingdon,GB,52.3305,-0.1865,49.93,85,100,15.01,overcast clouds
154,Khotkovo,RU,56.257,37.9954,13.78,100,100,6.2,overcast clouds
155,Hilo,US,19.7297,-155.09,78.53,78,75,11.5,broken clouds
156,Providencia,MX,28.7167,-111.5833,70.86,39,0,13.89,clear sky
157,Imeni Poliny Osipenko,RU,52.4201,136.4853,5.38,83,100,7.7,overcast clouds
158,Wasilla,US,61.5814,-149.4394,30.76,73,0,0.0,clear sky
159,Chekmagush,RU,55.1319,54.6556,12.97,99,93,2.37,overcast clouds
160,Cape Town,ZA,-33.9258,18.4232,70.12,70,0,1.01,clear sky
161,Kovdor,RU,67.5662,30.4758,17.62,88,100,8.55,overcast clouds
162,Vyartsilya,RU,62.1764,30.693,21.29,93,100,9.48,overcast clouds
163,Riachao Das Neves,BR,-11.7461,-44.91,70.5,90,86,2.44,overcast clouds
164,Tuatapere,NZ,-46.1333,167.6833,59.83,50,49,6.67,scattered clouds
165,Severo-Kurilsk,RU,50.6789,156.125,30.07,83,92,11.52,overcast clouds
166,Jumla,NP,29.2747,82.1838,30.06,42,0,5.53,clear sky
167,Kasongo-Lunda,CD,-6.4667,16.8167,68.63,98,100,1.03,overcast clouds
168,Nuuk,GL,64.1835,-51.7216,7.41,85,100,4.61,light snow
169,Kruisfontein,ZA,-34.0033,24.7314,66.88,91,22,11.14,few clouds
170,Fortuna,US,40.5982,-124.1573,54.19,79,0,2.91,clear sky
171,Cidreira,BR,-30.1811,-50.2056,74.61,88,88,3.18,overcast clouds
172,Yulara,AU,-25.2406,130.9889,84.04,23,0,9.22,clear sky
173,College,US,64.8569,-147.8028,12.79,82,100,0.0,light snow
