City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,saurimo,AO,2022-02-05 02:30:59,-9.6608,20.3916,62.78,97,100,3.38
210,sabha,LY,2022-02-05 02:30:59,27.0377,14.4283,48.07,36,0,5.97
211,abu samrah,SY,2022-02-05 02:31:00,35.3029,37.1841,42.17,93,3,7.11
212,tocopilla,CL,2022-02-05 02:30:18,-22.092,-70.1979,70.52,67,1,7.81
213,berlevag,NO,2022-02-05 02:31:00,70.8578,29.0864,20.62,80,100,27.49
214,jardim,BR,2022-02-05 02:31:01,-21.4803,-56.1381,75.11,83,52,4.23
215,molokovo,RU,2022-02-05 02:31:01,58.1661,36.7628,-1.14,100,100,4.23
216,zhoucheng,CN,2022-02-05 02:31:02,35.9122,116.3117,37.02,20,79,4.29
217,ulaangom,MN,2022-02-05 02:31:02,49.9811,92.0667,-19.61,94,93,0.54
218,pittsfield,US,2022-02-05 02:31:03,42.4501,-73.2454,26.8,87,100,1.99
219,otjimbingwe,NA,2022-02-05 02:31:03,-22.35,16.1333,71.15,58,87,5.28
220,lorengau,PG,2022-02-05 02:31:03,-2.0226,147.2712,85.17,63,98,8.79
221,kieta,PG,2022-02-05 02:31:04,-6.2167,155.6333,86.13,71,100,11.83
222,inta,RU,2022-02-05 02:31:04,66.0317,60.1659,2.32,97,99,5.75
223,vesyegonsk,RU,2022-02-05 02:31:05,58.664,37.2604,-0.6,100,100,3.8
224,ilulissat,GL,2022-02-05 02:31:05,69.2167,-51.1,10.42,67,75,13.8
225,mae sot,TH,2022-02-05 02:31:05,16.7167,98.5667,71.55,100,75,4.61
226,mahina,PF,2022-02-05 02:31:06,-17.5065,-149.489,85.77,54,40,18.41
227,santander,ES,2022-02-05 02:31:06,43.4647,-3.8044,50.47,70,100,17.0
228,qaanaaq,GL,2022-02-05 02:31:07,77.484,-69.3632,1.63,70,100,6.31
229,sur,OM,2022-02-05 02:28:40,22.5667,59.5289,68.74,51,12,8.55
230,faanui,PF,2022-02-05 02:30:39,-16.4833,-151.75,80.64,75,58,13.31
231,bilibino,RU,2022-02-05 02:31:07,68.0546,166.4372,-5.31,80,0,4.61
232,manokwari,ID,2022-02-05 02:31:08,-0.8667,134.0833,83.89,69,93,9.46
233,necochea,AR,2022-02-05 02:30:04,-38.5473,-58.7368,60.04,75,100,7.49
234,sovetskiy,RU,2022-02-05 02:32:08,61.3614,63.5842,5.0,97,100,2.33
235,karratha,AU,2022-02-05 02:32:09,-20.7377,116.8463,93.38,52,49,19.1
236,sydney,AU,2022-02-05 02:27:56,-33.8679,151.2073,76.33,55,40,5.99
237,greencastle,US,2022-02-05 02:32:09,39.6445,-86.8647,21.15,82,100,1.99
238,povolzhskiy,RU,2022-02-05 02:32:10,53.5854,49.7629,24.42,97,100,4.5
239,nicoya,CR,2022-02-05 02:32:10,10.1483,-85.452,80.15,75,23,8.5
240,avera,US,2022-02-05 02:32:10,33.194,-82.5271,51.67,83,100,15.26
241,balkhash,KZ,2022-02-05 02:32:11,46.844,74.9804,7.41,72,0,24.61
242,osmena,PH,2022-02-05 02:32:11,10.5208,119.9258,80.74,78,66,22.17
243,rundu,NA,2022-02-05 02:32:12,-17.9333,19.7667,65.97,93,97,3.69
244,kamsack,CA,2022-02-05 02:32:12,51.5667,-101.9009,-7.15,98,100,12.5
245,cherskiy,RU,2022-02-05 02:32:13,68.75,161.3,-29.94,96,9,3.53
246,kita,ML,2022-02-05 02:32:13,13.0349,-9.4895,69.4,15,0,3.62
247,pevek,RU,2022-02-05 02:32:14,69.7008,170.3133,-24.77,99,99,5.73
248,podporozhye,RU,2022-02-05 02:32:15,60.9112,34.1706,8.96,93,99,7.96
249,agua prieta,MX,2022-02-05 02:32:15,31.3,-109.5667,39.38,30,0,15.9
250,vao,NC,2022-02-05 02:32:15,-22.6667,167.4833,80.35,86,100,10.96
251,kalamb,IN,2022-02-05 02:32:16,19.05,73.95,64.44,43,82,2.93
252,garowe,SO,2022-02-05 02:32:16,8.4054,48.4845,60.24,60,9,6.58
253,nome,US,2022-02-05 02:30:36,64.5011,-165.4064,6.87,56,100,6.91
254,lobito,AO,2022-02-05 02:32:17,-12.3481,13.5456,74.59,73,100,5.61
255,manbij,SY,2022-02-05 02:32:17,36.5281,37.9549,39.97,86,0,8.68
256,cordoba,AR,2022-02-05 02:32:18,-31.4135,-64.1811,62.6,72,0,6.91
257,belaya gora,RU,2022-02-05 02:32:18,68.5333,146.4167,-31.47,99,55,1.74
258,luderitz,NA,2022-02-05 02:32:19,-26.6481,15.1594,68.63,71,90,4.41
259,praia,CV,2022-02-05 02:28:00,14.9215,-23.5087,70.34,78,0,16.11
260,bathsheba,BB,2022-02-05 02:30:38,13.2167,-59.5167,77.61,69,40,12.66
261,bukene,TZ,2022-02-05 02:32:19,-4.2333,32.8833,61.25,99,100,1.19
262,lethem,GY,2022-02-05 02:30:29,3.3803,-59.7968,78.1,74,99,10.11
263,selu,IN,2022-02-05 02:32:20,19.4667,76.4667,64.8,25,96,6.44
264,hobyo,SO,2022-02-05 02:32:21,5.3505,48.5268,74.14,71,18,13.82
265,zyryanka,RU,2022-02-05 02:32:11,65.75,150.85,-28.41,98,100,1.5
266,kawalu,ID,2022-02-05 02:32:21,-7.3817,108.2082,82.09,73,98,0.96
267,tongliao,CN,2022-02-05 02:32:22,43.6125,122.2653,11.62,71,2,11.81
268,iracoubo,GF,2022-02-05 02:32:22,5.4802,-53.2011,76.14,89,99,8.55
